Tamaño del hogar, tipo de hogar, hábitat, ingresos mensuales netos del hogar;Forma de conexión;Total
Total Viviendas;Total de viviendas que disponen de acceso a Internet;15.960.470
Total Viviendas;Viviendas con conexión de banda ancha;100,0
Total Viviendas;Conexión de banda ancha fija;86,4
Total Viviendas;Conexión de banda ancha móvil;87,5
Total Viviendas;Conexión solo a través de banda ancha móvil;13,5
Tamaño del hogar: Hogares de 1 miembro;Total de viviendas que disponen de acceso a Internet;3.273.341
Tamaño del hogar: Hogares de 1 miembro;Viviendas con conexión de banda ancha;100,0
Tamaño del hogar: Hogares de 1 miembro;Conexión de banda ancha fija;74,0
Tamaño del hogar: Hogares de 1 miembro;Conexión de banda ancha móvil;88,1
Tamaño del hogar: Hogares de 1 miembro;Conexión solo a través de banda ancha móvil;26,0
Tamaño del hogar: Hogares de 2 miembros;Total de viviendas que disponen de acceso a Internet;4.639.861
Tamaño del hogar: Hogares de 2 miembros;Viviendas con conexión de banda ancha;100,0
Tamaño del hogar: Hogares de 2 miembros;Conexión de banda ancha fija;84,1
Tamaño del hogar: Hogares de 2 miembros;Conexión de banda ancha móvil;86,6
Tamaño del hogar: Hogares de 2 miembros;Conexión solo a través de banda ancha móvil;15,9
Tamaño del hogar: Hogares de 3 miembros;Total de viviendas que disponen de acceso a Internet;3.748.461
Tamaño del hogar: Hogares de 3 miembros;Viviendas con conexión de banda ancha;100,0
Tamaño del hogar: Hogares de 3 miembros;Conexión de banda ancha fija;90,7
Tamaño del hogar: Hogares de 3 miembros;Conexión de banda ancha móvil;87,4
Tamaño del hogar: Hogares de 3 miembros;Conexión solo a través de banda ancha móvil;9,3
Tamaño del hogar: Hogares de 4 miembros;Total de viviendas que disponen de acceso a Internet;3.186.181
Tamaño del hogar: Hogares de 4 miembros;Viviendas con conexión de banda ancha;100,0
Tamaño del hogar: Hogares de 4 miembros;Conexión de banda ancha fija;95,7
Tamaño del hogar: Hogares de 4 miembros;Conexión de banda ancha móvil;88,2
Tamaño del hogar: Hogares de 4 miembros;Conexión solo a través de banda ancha móvil;4,3
Tamaño del hogar: Hogares de 5 ó más miembros;Total de viviendas que disponen de acceso a Internet;1.112.626
Tamaño del hogar: Hogares de 5 ó más miembros;Viviendas con conexión de banda ancha;100,0
Tamaño del hogar: Hogares de 5 ó más miembros;Conexión de banda ancha fija;92,0
Tamaño del hogar: Hogares de 5 ó más miembros;Conexión de banda ancha móvil;88,3
Tamaño del hogar: Hogares de 5 ó más miembros;Conexión solo a través de banda ancha móvil;8,0
Tipo de hogar: Hogar unipersonal;Total de viviendas que disponen de acceso a Internet;3.273.341
Tipo de hogar: Hogar unipersonal;Viviendas con conexión de banda ancha;100,0
Tipo de hogar: Hogar unipersonal;Conexión de banda ancha fija;74,0
Tipo de hogar: Hogar unipersonal;Conexión de banda ancha móvil;88,1
Tipo de hogar: Hogar unipersonal;Conexión solo a través de banda ancha móvil;26,0
Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Total de viviendas que disponen de acceso a Internet;1.938.583
Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Viviendas con conexión de banda ancha;100,0
Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Conexión de banda ancha fija;86,5
Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Conexión de banda ancha móvil;86,7
Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Conexión solo a través de banda ancha móvil;13,5
Tipo de hogar: Pareja sin hijos que convivan en el hogar;Total de viviendas que disponen de acceso a Internet;2.870.586
Tipo de hogar: Pareja sin hijos que convivan en el hogar;Viviendas con conexión de banda ancha;100,0
Tipo de hogar: Pareja sin hijos que convivan en el hogar;Conexión de banda ancha fija;85,5
Tipo de hogar: Pareja sin hijos que convivan en el hogar;Conexión de banda ancha móvil;86,6
Tipo de hogar: Pareja sin hijos que convivan en el hogar;Conexión solo a través de banda ancha móvil;14,5
Tipo de hogar: Pareja con hijos que convivan en el hogar;Total de viviendas que disponen de acceso a Internet;6.330.844
Tipo de hogar: Pareja con hijos que convivan en el hogar;Viviendas con conexión de banda ancha;100,0
Tipo de hogar: Pareja con hijos que convivan en el hogar;Conexión de banda ancha fija;94,0
Tipo de hogar: Pareja con hijos que convivan en el hogar;Conexión de banda ancha móvil;88,0
Tipo de hogar: Pareja con hijos que convivan en el hogar;Conexión solo a través de banda ancha móvil;6,0
Tipo de hogar: Otro tipo de hogar;Total de viviendas que disponen de acceso a Internet;1.547.116
Tipo de hogar: Otro tipo de hogar;Viviendas con conexión de banda ancha;100,0
Tipo de hogar: Otro tipo de hogar;Conexión de banda ancha fija;83,7
Tipo de hogar: Otro tipo de hogar;Conexión de banda ancha móvil;86,9
Tipo de hogar: Otro tipo de hogar;Conexión solo a través de banda ancha móvil;16,3
Hábitat: De 100.000 y más habitantes y capitales de provincia;Total de viviendas que disponen de acceso a Internet;6.840.348
Hábitat: De 100.000 y más habitantes y capitales de provincia;Viviendas con conexión de banda ancha;100,0
Hábitat: De 100.000 y más habitantes y capitales de provincia;Conexión de banda ancha fija;89,2
Hábitat: De 100.000 y más habitantes y capitales de provincia;Conexión de banda ancha móvil;87,9
Hábitat: De 100.000 y más habitantes y capitales de provincia;Conexión solo a través de banda ancha móvil;10,8
Hábitat: De 50.000 a menos de 100.000 habitantes;Total de viviendas que disponen de acceso a Internet;1.906.063
Hábitat: De 50.000 a menos de 100.000 habitantes;Viviendas con conexión de banda ancha;100,0
Hábitat: De 50.000 a menos de 100.000 habitantes;Conexión de banda ancha fija;87,0
Hábitat: De 50.000 a menos de 100.000 habitantes;Conexión de banda ancha móvil;86,7
Hábitat: De 50.000 a menos de 100.000 habitantes;Conexión solo a través de banda ancha móvil;13,0
Hábitat: De 20.000 a menos de 50.000 habitantes;Total de viviendas que disponen de acceso a Internet;2.396.728
Hábitat: De 20.000 a menos de 50.000 habitantes;Viviendas con conexión de banda ancha;100,0
Hábitat: De 20.000 a menos de 50.000 habitantes;Conexión de banda ancha fija;86,4
Hábitat: De 20.000 a menos de 50.000 habitantes;Conexión de banda ancha móvil;86,6
Hábitat: De 20.000 a menos de 50.000 habitantes;Conexión solo a través de banda ancha móvil;13,6
Hábitat: De 10.000 a menos de 20.000 habitantes;Total de viviendas que disponen de acceso a Internet;1.750.549
Hábitat: De 10.000 a menos de 20.000 habitantes;Viviendas con conexión de banda ancha;100,0
Hábitat: De 10.000 a menos de 20.000 habitantes;Conexión de banda ancha fija;85,4
Hábitat: De 10.000 a menos de 20.000 habitantes;Conexión de banda ancha móvil;87,1
Hábitat: De 10.000 a menos de 20.000 habitantes;Conexión solo a través de banda ancha móvil;14,6
Hábitat: Menos de 10.000 habitantes;Total de viviendas que disponen de acceso a Internet;3.066.783
Hábitat: Menos de 10.000 habitantes;Viviendas con conexión de banda ancha;100,0
Hábitat: Menos de 10.000 habitantes;Conexión de banda ancha fija;80,6
Hábitat: Menos de 10.000 habitantes;Conexión de banda ancha móvil;88,0
Hábitat: Menos de 10.000 habitantes;Conexión solo a través de banda ancha móvil;19,4
Ingresos mensuales netos del hogar: Menos de 900 euros;Total de viviendas que disponen de acceso a Internet;2.319.091
Ingresos mensuales netos del hogar: Menos de 900 euros;Viviendas con conexión de banda ancha;100,0
Ingresos mensuales netos del hogar: Menos de 900 euros;Conexión de banda ancha fija;69,7
Ingresos mensuales netos del hogar: Menos de 900 euros;Conexión de banda ancha móvil;86,9
Ingresos mensuales netos del hogar: Menos de 900 euros;Conexión solo a través de banda ancha móvil;30,3
Ingresos mensuales netos del hogar: De 900 a menos de 1.600 euros;Total de viviendas que disponen de acceso a Internet;4.769.978
Ingresos mensuales netos del hogar: De 900 a menos de 1.600 euros;Viviendas con conexión de banda ancha;100,0
Ingresos mensuales netos del hogar: De 900 a menos de 1.600 euros;Conexión de banda ancha fija;84,7
Ingresos mensuales netos del hogar: De 900 a menos de 1.600 euros;Conexión de banda ancha móvil;86,6
Ingresos mensuales netos del hogar: De 900 a menos de 1.600 euros;Conexión solo a través de banda ancha móvil;15,3
Ingresos mensuales netos del hogar: De 1.600 a menos de 2.500 euros;Total de viviendas que disponen de acceso a Internet;3.501.495
Ingresos mensuales netos del hogar: De 1.600 a menos de 2.500 euros;Viviendas con conexión de banda ancha;100,0
Ingresos mensuales netos del hogar: De 1.600 a menos de 2.500 euros;Conexión de banda ancha fija;91,8
Ingresos mensuales netos del hogar: De 1.600 a menos de 2.500 euros;Conexión de banda ancha móvil;86,6
Ingresos mensuales netos del hogar: De 1.600 a menos de 2.500 euros;Conexión solo a través de banda ancha móvil;8,2
Ingresos mensuales netos del hogar: De 2.500 a menos de 3.000 euros;Total de viviendas que disponen de acceso a Internet;1.286.193
Ingresos mensuales netos del hogar: De 2.500 a menos de 3.000 euros;Viviendas con conexión de banda ancha;99,9
Ingresos mensuales netos del hogar: De 2.500 a menos de 3.000 euros;Conexión de banda ancha fija;94,6
Ingresos mensuales netos del hogar: De 2.500 a menos de 3.000 euros;Conexión de banda ancha móvil;91,7
Ingresos mensuales netos del hogar: De 2.500 a menos de 3.000 euros;Conexión solo a través de banda ancha móvil;5,3
Ingresos mensuales netos del hogar: 3.000 euros y mas;Total de viviendas que disponen de acceso a Internet;1.857.375
Ingresos mensuales netos del hogar: 3.000 euros y mas;Viviendas con conexión de banda ancha;100,0
Ingresos mensuales netos del hogar: 3.000 euros y mas;Conexión de banda ancha fija;97,4
Ingresos mensuales netos del hogar: 3.000 euros y mas;Conexión de banda ancha móvil;91,0
Ingresos mensuales netos del hogar: 3.000 euros y mas;Conexión solo a través de banda ancha móvil;2,6
Ingresos mensuales netos del hogar:  NS/NR;Total de viviendas que disponen de acceso a Internet;2.226.338
Ingresos mensuales netos del hogar:  NS/NR;Viviendas con conexión de banda ancha;100,0
Ingresos mensuales netos del hogar:  NS/NR;Conexión de banda ancha fija;85,3
Ingresos mensuales netos del hogar:  NS/NR;Conexión de banda ancha móvil;86,2
Ingresos mensuales netos del hogar:  NS/NR;Conexión solo a través de banda ancha móvil;14,7
